frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0;0;1.611312e+00
1;0.020000;0;0;3.201125e+00
2;0.030000;0;0;4.790939e+00
3;0.040000;0;0;4.768847e+00
4;0.050000;0;0;4.670519e+00
5;0.060000;0;0;4.499153e+00
6;0.070000;0;0;4.277456e+00
7;0.080000;0;0;4.061634e+00
8;0.090000;0;0;3.849787e+00
9;0.100000;0;0;3.644233e+00
10;0.110000;0;0;3.446101e+00
11;0.120000;0;0;3.256207e+00
12;0.130000;0;0;3.073573e+00
13;0.140000;0;0;2.897285e+00
14;0.150000;0;0;2.727044e+00
15;0.160000;0;0;2.564334e+00
16;0.170000;0;0;2.408262e+00
17;0.180000;0;0;2.260003e+00
18;0.190000;0;0;2.118420e+00
19;0.200000;0;0;1.984321e+00
20;0.210000;0;0;1.854638e+00
21;0.220000;0;0;1.732200e+00
22;0.230000;0;0;1.616159e+00
23;0.240000;0;0;1.505642e+00
24;0.250000;0;0;1.375329e+00
25;0.260000;0;0;1.249621e+00
26;0.270000;0;0;1.132800e+00
27;0.280000;0;0;1.046606e+00
28;0.290000;0;0;9.625618e-01
29;0.300000;0;0;8.781535e-01
30;0.310000;0;0;7.928597e-01
31;0.320000;0;0;7.134278e-01
32;0.330000;0;0;6.383909e-01
33;0.340000;0;0;5.653966e-01
34;0.350000;0;0;4.903167e-01
35;0.360000;0;0;4.127541e-01
36;0.370000;0;0;3.361700e-01
37;0.380000;0;0;2.542088e-01
38;0.390000;0;0;1.668710e-01
39;0.400000;0;0;1.145134e-01
40;0.410000;0;0;1.052557e-01
41;0.420000;0;0;1.366757e-01
42;0.430000;0;0;1.656951e-01
43;0.440000;0;0;1.897871e-01
44;0.450000;0;0;2.123961e-01
45;0.460000;0;0;2.191818e-01
46;0.470000;0;0;2.433670e-01
47;0.480000;0;0;2.663405e-01
48;0.490000;0;0;3.010086e-01
49;0.500000;0;0;3.097619e-01
50;0.510000;0;0;3.216439e-01
51;0.520000;0;0;3.267665e-01
52;0.530000;0;0;3.353961e-01
53;0.540000;0;0;3.338496e-01
54;0.550000;0;0;3.357514e-01
55;0.560000;0;0;3.314061e-01
56;0.570000;0;0;3.303671e-01
57;0.580000;0;0;3.289860e-01
58;0.590000;0;0;3.215946e-01
59;0.600000;0;0;3.102580e-01
60;0.610000;0;0;3.102580e-01
61;0.620000;0;0;3.218233e-01
62;0.630000;0;0;3.391324e-01
63;0.640000;0;0;3.430727e-01
64;0.650000;0;0;3.586756e-01
65;0.660000;0;0;3.644502e-01
66;0.670000;0;0;3.692934e-01
67;0.680000;0;0;3.638624e-01
68;0.690000;0;0;3.526354e-01
69;0.700000;0;0;3.398158e-01
70;0.710000;0;0;3.238771e-01
71;0.720000;0;0;3.125794e-01
72;0.730000;0;0;2.942744e-01
73;0.740000;0;0;2.795292e-01
74;0.750000;0;0;2.670982e-01
75;0.760000;0;0;2.650679e-01
76;0.770000;0;0;2.544342e-01
77;0.780000;0;0;2.451537e-01
78;0.790000;0;0;2.270818e-01
79;0.800000;0;0;2.075488e-01
80;0.810000;0;0;1.925319e-01
81;0.820000;0;0;1.918114e-01
82;0.830000;0;0;1.975321e-01
83;0.840000;0;0;2.136398e-01
84;0.850000;0;0;2.328409e-01
85;0.860000;0;0;2.626832e-01
86;0.870000;0;0;2.816201e-01
87;0.880000;0;0;2.937125e-01
88;0.890000;0;0;2.920002e-01
89;0.900000;0;0;2.883804e-01
90;0.910000;0;0;2.918913e-01
91;0.920000;0;0;3.031302e-01
92;0.930000;0;0;3.240060e-01
93;0.940000;0;0;3.373189e-01
94;0.950000;0;0;3.351721e-01
95;0.960000;0;0;3.177280e-01
96;0.970000;0;0;2.944036e-01
97;0.980000;0;0;2.741524e-01
98;0.990000;0;0;2.627775e-01
99;1.000000;0;0;2.555435e-01
100;1.010000;0;0;2.538688e-01
101;1.020000;0;0;2.515981e-01
102;1.030000;0;0;2.439279e-01
103;1.040000;0;0;2.279040e-01
104;1.050000;0;0;1.993202e-01
105;1.060000;0;0;1.765408e-01
106;1.070000;0;0;1.707753e-01
107;1.080000;0;0;1.740108e-01
108;1.090000;0;0;1.786026e-01
109;1.100000;0;0;1.594476e-01
110;1.110000;0;0;1.502220e-01
111;1.120000;0;0;1.178140e-01
112;1.130000;0;0;8.094361e-02
113;1.140000;0;0;4.064789e-02
114;1.150000;0;1.924356e-01;4.366067e-02
115;1.160000;0;1.924356e-01;7.308944e-02
116;1.170000;0;1.924356e-01;9.577582e-02
117;1.180000;0;0;9.535816e-02
118;1.190000;0;2.082079e-01;1.123958e-01
119;1.200000;0;2.082079e-01;1.095238e-01
120;1.210000;0;2.082079e-01;1.220782e-01
121;1.220000;0;1.958778e-01;1.023105e-01
122;1.230000;0;1.958778e-01;1.178817e-01
123;1.240000;0;1.958778e-01;1.022833e-01
124;1.250000;0;0;1.010639e-01
125;1.260000;0;0;8.287042e-02
126;1.270000;0;2.098107e-01;9.506563e-02
127;1.280000;0;2.098107e-01;9.027680e-02
128;1.290000;0;2.098107e-01;7.779821e-02
129;1.300000;0;1.907091e-01;5.510904e-02
130;1.310000;0;4.076062e-01;3.441854e-02
131;1.320000;0;4.076062e-01;4.208344e-02
132;1.330000;0;2.168971e-01;5.477388e-02
133;1.340000;0;0;6.588382e-02
134;1.350000;0;0;7.024349e-02
135;1.360000;0;0;6.323332e-02
136;1.370000;0;0;8.267837e-02
